# fftisdf-ning-supercell-10
# nk,    build,    get_j,    get_k,     size
   2, 1.90e+02, 6.32e+01, 2.00e-02, 1.71e+00
   4, 8.57e+02, 3.09e+03, 5.80e-01, 4.80e+00
   8, 2.72e+03, 1.88e+01, 1.40e+01, 1.40e+01
  16, 7.20e+03, 7.34e+01, 1.24e+02, 4.42e+01
  32, 3.86e+04, 1.76e+02, 4.83e+02, 1.01e+02
  64,      nan,      nan,      nan,      nan

# fftisdf-ning-supercell-20
# nk,    build,    get_j,    get_k,     size
   2, 2.23e+02, 6.84e+01, 2.00e-02, 1.82e+00
   4, 8.41e+02, 2.42e+03, 3.20e-01, 5.04e+00
   8, 3.08e+03, 1.73e+01, 1.67e+01, 1.47e+01
  16, 8.28e+03, 6.91e+01, 1.44e+02, 4.64e+01
  32, 3.93e+04, 1.35e+02, 5.40e+02, 1.09e+02
  64,      nan,      nan,      nan,      nan

# fftisdf-yang-10-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 1.71e+02, 1.80e-01, 5.00e-02, 2.73e-02
   4, 2.53e+02, 2.80e-01, 1.10e-01, 5.45e-02
   8, 4.24e+02, 4.70e-01, 2.00e-01, 1.09e-01
  16, 1.00e+03, 1.14e+00, 8.90e-01, 2.18e-01
  32, 1.95e+03, 2.18e+00, 1.49e+00, 4.36e-01
  64, 2.84e+03, 3.93e+00, 1.71e+00, 8.72e-01

# fftisdf-yang-20-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 2.46e+02, 2.40e-01, 1.90e-01, 1.04e-01
   4, 4.17e+02, 5.00e-01, 3.80e-01, 2.08e-01
   8, 9.48e+02, 1.07e+00, 7.70e-01, 4.16e-01
  16, 1.45e+03, 1.81e+00, 1.48e+00, 8.33e-01
  32, 2.79e+03, 3.66e+00, 2.92e+00, 1.67e+00
  64, 5.38e+03, 7.31e+00, 6.74e+00, 3.33e+00

# gdf
# nk,    build,    get_j,    get_k,     size
   2, 1.74e+02, 1.02e+00, 1.29e+01, 3.08e-01
   4, 4.38e+02, 6.00e-01, 5.12e+01, 1.36e+00
   8, 1.53e+03, 2.89e+00, 1.99e+02, 5.59e+00
  16, 3.17e+03, 4.22e+00, 7.66e+02, 2.25e+01
  32, 1.19e+04, 1.79e+01, 3.18e+03, 9.00e+01
  64, 4.89e+04, 1.76e+01, 1.21e+04, 3.60e+02
